NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-10;Home;Menors de 15;Si;0;2;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-09;Altres;N/A;--;94;506;47;7;3;116;23;0
CATALUNYA;CATALUNYA;2020-11-09;Dona;Entre 15 i 64;No;1354;9025;4919;33;4;329;66;0
CATALUNYA;CATALUNYA;2020-11-09;Dona;Entre 15 i 64;Si;10;93;4;0;0;8;1;0
CATALUNYA;CATALUNYA;2020-11-09;Dona;Entre 65 i 74;No;128;796;391;19;7;199;47;1
CATALUNYA;CATALUNYA;2020-11-09;Dona;Entre 65 i 74;Si;2;68;10;2;0;7;0;0
CATALUNYA;CATALUNYA;2020-11-09;Dona;Majors de 74;No;130;1021;398;22;3;432;24;18
CATALUNYA;CATALUNYA;2020-11-09;Dona;Majors de 74;Si;54;1027;131;5;0;81;1;17
CATALUNYA;CATALUNYA;2020-11-09;Dona;Menors de 15;No;269;3083;1042;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-09;Dona;Menors de 15;Si;0;15;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-09;Home;Entre 15 i 64;No;1225;6010;3707;74;14;617;174;4
CATALUNYA;CATALUNYA;2020-11-09;Home;Entre 15 i 64;Si;11;125;18;0;0;19;3;1
CATALUNYA;CATALUNYA;2020-11-09;Home;Entre 65 i 74;No;115;866;303;17;8;365;113;7
CATALUNYA;CATALUNYA;2020-11-09;Home;Entre 65 i 74;Si;3;59;11;0;0;16;2;1
CATALUNYA;CATALUNYA;2020-11-09;Home;Majors de 74;No;117;917;251;28;3;488;62;16
CATALUNYA;CATALUNYA;2020-11-09;Home;Majors de 74;Si;22;297;44;6;0;48;0;6
CATALUNYA;CATALUNYA;2020-11-09;Home;Menors de 15;No;284;3322;1195;1;0;2;1;0
CATALUNYA;CATALUNYA;2020-11-09;Home;Menors de 15;Si;1;17;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-08;Altres;N/A;--;13;53;13;5;0;123;21;0
CATALUNYA;CATALUNYA;2020-11-08;Dona;Entre 15 i 64;No;339;1754;888;29;5;338;67;0
CATALUNYA;CATALUNYA;2020-11-08;Dona;Entre 15 i 64;Si;1;3;2;0;0;11;1;1
CATALUNYA;CATALUNYA;2020-11-08;Dona;Entre 65 i 74;No;28;193;69;11;2;216;48;3
CATALUNYA;CATALUNYA;2020-11-08;Dona;Entre 65 i 74;Si;0;17;2;0;0;5;0;2
CATALUNYA;CATALUNYA;2020-11-08;Dona;Majors de 74;No;33;325;82;19;1;441;22;15
CATALUNYA;CATALUNYA;2020-11-08;Dona;Majors de 74;Si;12;176;27;3;0;80;1;11
CATALUNYA;CATALUNYA;2020-11-08;Dona;Menors de 15;No;59;474;153;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-08;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-08;Home;Entre 15 i 64;No;301;1288;726;42;8;648;170;2
CATALUNYA;CATALUNYA;2020-11-08;Home;Entre 15 i 64;Si;1;14;0;1;0;23;3;1
CATALUNYA;CATALUNYA;2020-11-08;Home;Entre 65 i 74;No;35;241;62;18;6;373;113;5
CATALUNYA;CATALUNYA;2020-11-08;Home;Entre 65 i 74;Si;3;15;5;2;0;16;2;1
CATALUNYA;CATALUNYA;2020-11-08;Home;Majors de 74;No;29;279;64;33;4;489;60;13
CATALUNYA;CATALUNYA;2020-11-08;Home;Majors de 74;Si;5;61;9;4;0;44;1;10
CATALUNYA;CATALUNYA;2020-11-08;Home;Menors de 15;No;40;546;200;0;0;3;1;0
